entropy,num_steps,dataset,lim_entropy
1.9751396,1,shakespeare,6.066089190457772
3.9204543,2,shakespeare,12.132178380915544
5.878639,3,shakespeare,18.198267571373314
7.8551507,4,shakespeare,24.26435676183109
9.827422,5,shakespeare,30.330445952288862
11.787343,6,shakespeare,36.39653514274663
13.750976,7,shakespeare,42.4626243332044
15.697571,8,shakespeare,48.52871352366218
17.635597,9,shakespeare,54.59480271411995
19.561888,10,shakespeare,60.660891904577724
21.450624,11,shakespeare,66.7269810950355
2.6832771,1,amazon,4.857980995127572
5.1530027,2,amazon,9.715961990255144
7.557503,3,amazon,14.573942985382715
9.919509,4,amazon,19.431923980510287
12.252557,5,amazon,24.28990497563786
14.56603,6,amazon,29.14788597076543
16.867071,7,amazon,34.005866965893006
19.159748,8,amazon,38.863847961020575
21.449165,9,amazon,43.721828956148144
23.738485,10,amazon,48.57980995127572
26.18393,11,amazon,53.43779094640329
2.0131922,1,moocs,6.599912842187128
3.921842,2,moocs,13.199825684374256
5.788002,3,moocs,19.799738526561384
7.603882,4,moocs,26.39965136874851
9.419831,5,moocs,32.99956421093564
11.207621,6,moocs,39.59947705312277
13.003225,7,moocs,46.19938989530989
14.791805,8,moocs,52.79930273749702
16.58785,9,moocs,59.39921557968415
18.374931,10,moocs,65.99912842187128
20.193222,11,moocs,72.5990412640584
2.4921196,1,apps,6.442943495848728
3.0410838,2,apps,12.885886991697456
3.7406697,3,apps,19.328830487546185
4.217502,4,apps,25.77177398339491
4.876615,5,apps,32.21471747924364
5.273375,6,apps,38.65766097509237
5.826171,7,apps,45.10060447094109
6.20309,8,apps,51.54354796678982
6.7368956,9,apps,57.986491462638554
7.105822,10,apps,64.42943495848728
7.684066,11,apps,70.872378454336
