entropy,num_steps,lim_entropy,dataset
4.348624,2,8.439015410352214,shakespeare
6.2348433,3,12.658523115528322,shakespeare
8.296997,4,16.878030820704428,shakespeare
10.251321,5,21.097538525880534,shakespeare
12.316114,6,25.317046231056644,shakespeare
14.320605,7,29.53655393623275,shakespeare
16.307293,8,33.756061641408856,shakespeare
18.255703,9,37.97556934658496,shakespeare
20.179424,10,42.19507705176107,shakespeare
5.392204,2,6.802394763324311,amazon
8.013243,3,10.203592144986466,amazon
10.609614,4,13.604789526648622,amazon
13.112476,5,17.005986908310778,amazon
15.610859,6,20.407184289972932,amazon
18.100988,7,23.80838167163509,amazon
20.492868,8,27.209579053297244,amazon
22.908653,9,30.610776434959398,amazon
25.325294,10,34.011973816621555,amazon
3.9677439,2,9.169934957341145,moocs
5.8760214,3,13.754902436011717,moocs
7.620141,4,18.33986991468229,moocs
9.480623,5,22.92483739335286,moocs
11.283667,6,27.509804872023434,moocs
13.083764,7,32.09477235069401,moocs
14.930534,8,36.67973982936458,moocs
16.724533,9,41.26470730803515,moocs
18.567757,10,45.84967478670572,moocs
2.9476871,2,8.954673628956414,apps
3.7530284,3,13.43201044343462,apps
4.22488,4,17.909347257912827,apps
4.8162026,5,22.386684072391034,apps
5.3355236,6,26.86402088686924,apps
5.9001346,7,31.341357701347448,apps
6.371192,8,35.818694515825655,apps
6.869062,9,40.29603133030386,apps
7.3713093,10,44.77336814478207,apps
